emirate,plate_number,plate_code,price,first_seen,last_seen,status,sold_at
Fujairah,1810,E,18900,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,9190,J,18400,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,1021,K,18400,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,1017,C,17900,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,1091,C,17900,2025-12-23T20:41:25.377374Z,2026-02-21T06:41:06.285954Z,sold,2026-02-25T07:01:54.373438Z
Fujairah,1770,J,17900,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,1909,D,17900,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,2320,I,17900,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,1170,D,17400,2025-12-23T20:41:25.377374Z,2026-01-21T06:36:21.427044Z,sold,2026-01-25T06:31:42.175572Z
Fujairah,1615,K,17400,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,1606,J,17400,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,1077,J,17400,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,1107,B,17400,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,1716,M,17400,2026-04-01T07:20:19.752135Z,2026-04-01T07:20:19.752135Z,sold,2026-04-05T07:05:59.301403Z
Fujairah,6160,R,17400,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,1176,C,16900,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,6099,C,16900,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,1871,E,16900,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,6690,M,16900,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,6609,R,16900,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,1088,J,16900,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,2203,C,16400,2025-12-23T20:41:25.377374Z,2026-03-25T07:02:01.385655Z,sold,2026-03-29T07:02:45.582065Z
Fujairah,4450,C,16400,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,1323,D,16400,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,4104,G,16400,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,6670,S,16400,2025-12-23T20:41:25.377374Z,2026-02-13T06:59:27.026250Z,sold,2026-02-17T06:58:58.161508Z
Fujairah,2330,I,16400,2025-12-23T20:41:25.377374Z,2026-02-25T07:01:54.373438Z,sold,2026-03-01T06:45:22.169808Z
Fujairah,3202,I,16400,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,5011,I,16400,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,8380,I,16400,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,3110,K,16400,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,1788,H,16400,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,7780,C,16400,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,1899,D,16400,2026-04-01T07:20:19.752135Z,2026-04-09T07:21:53.057335Z,sold,2026-04-13T08:02:52.414569Z
Fujairah,5510,D,16400,2026-04-01T07:20:19.752135Z,2026-04-29T08:17:50.288341Z,sold,2026-05-01T08:10:42.711961Z
Fujairah,9011,D,16400,2026-04-01T07:20:19.752135Z,2026-04-13T08:02:52.414569Z,sold,2026-04-17T07:46:07.248341Z
Fujairah,1521,G,16400,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,3440,M,16400,2026-04-01T07:20:19.752135Z,2026-04-25T07:15:54.377303Z,sold,2026-04-29T08:17:50.288341Z
Fujairah,8110,J,16400,2026-04-01T07:20:19.752135Z,2026-04-05T07:05:59.301403Z,sold,2026-04-09T07:21:53.057335Z
Fujairah,8098,B,15900,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,5434,C,15900,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,4505,D,15900,2025-12-23T20:41:25.377374Z,2026-01-14T19:00:54.682283Z,sold,2026-01-17T06:30:31.755877Z
Fujairah,5435,E,15900,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,6067,M,15900,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,5453,R,15900,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,8089,I,15900,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,8908,H,15900,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,6016,E,15900,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,8171,E,15900,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,2213,M,15900,2026-04-01T07:20:19.752135Z,2026-05-01T08:10:42.711961Z,sold,2026-05-05T08:08:36.627254Z
Fujairah,4560,M,15900,2026-04-01T07:20:19.752135Z,2026-04-09T07:21:53.057335Z,sold,2026-04-13T08:02:52.414569Z
Fujairah,6511,M,15900,2026-04-01T07:20:19.752135Z,2026-04-29T08:17:50.288341Z,sold,2026-05-01T08:10:42.711961Z
Fujairah,3403,S,15900,2026-04-01T07:20:19.752135Z,2026-04-25T07:15:54.377303Z,sold,2026-04-29T08:17:50.288341Z
Fujairah,4055,S,15900,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,6707,S,15900,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,9109,J,15900,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,7881,D,15400,2025-12-23T20:41:25.377374Z,2026-03-01T06:45:22.169808Z,sold,2026-03-05T06:52:26.982062Z
Fujairah,5065,E,15400,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,6880,D,15400,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,1565,M,15400,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,1667,K,15400,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,5045,H,15400,2026-04-01T07:20:19.752135Z,2026-05-05T08:08:36.627254Z,sold,2026-05-09T07:55:48.295955Z
Fujairah,7556,G,14900,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
Fujairah,99119,M,14900,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,2235,S,14900,2025-12-23T20:41:25.377374Z,2026-03-29T07:02:45.582065Z,sold,2026-04-01T07:20:19.752135Z
